1 => cctv1 | CCTV1
410373 => 410373 | 深圳衛視
410374 => cctv1 | CCTV-1
410375 => cctv4 | CCTV-4
410376 => 410376 | 大灣區衛視
410377 => 410377 | 中央電視台新聞頻道
410378 => 410378 | 鳳凰衛視中文台
410379 => 410379 | 東方衛視國際頻道
410381 => 410381 | 三沙衛視
410383 => 410383 | ABC Australia
410384 => 410384 | Now Sports 4K 1
410385 => 410385 | Now Sports 4K 2
410386 => 410386 | Now Sports 4K 3
410387 => 410387 | Now Sports Premier League TV
410388 => 410388 | Now Sports 英超1台
410389 => 410389 | Now Sports 英超2台
410390 => 410390 | Now Sports 英超3台
410391 => 410391 | Now Sports 英超4台
410392 => 410392 | Now Sports 英超5台
410395 => 410395 | Now Sports 精選
410396 => 410396 | Now Sports 1
410397 => 410397 | Now Sports 2
410398 => 410398 | Now Sports 3
410399 => 410399 | Now Sports 4
410400 => 410400 | Now Sports 5
410401 => 410401 | Now Sports 6
410402 => 410402 | Now Sports 7
410403 => 410403 | beIN SPORTS 1
410404 => 410404 | beIN SPORTS 2
410405 => 410405 | 曼聯電視頻道
410406 => 410406 | Now Sports 641
410407 => 410407 | NBA TV
410408 => 410408 | beIN SPORTS 3
410409 => 410409 | beIN SPORTS 4
410410 => 410410 | beIN SPORTS 5
410411 => 410411 | beIN SPORTS 6
410412 => 410412 | Now Sports 651
410413 => 410413 | Now Sports 652
410414 => 410414 | Now668
410417 => 410417 | Astro Cricket
410418 => 410418 | Premier Sports
410419 => 410419 | Now Sports Plus
410420 => 410420 | Now Golf 2
410421 => 410421 | Now Golf 3
410422 => 410422 | NHK World Premium
410424 => 410424 | TV5MONDE ASIE
410425 => 410425 | France 24 (French)
410426 => 410426 | GMA Pinoy TV
410427 => 410427 | GMA Life TV
410428 => 410428 | GMA News TV
410429 => 410429 | TFC
410430 => 410430 | Sony TV (India)
410431 => 410431 | Sony MAX
410432 => 410432 | Sony SAB
410433 => 410433 | MTV India
410435 => 410435 | Zee Cinema International
410436 => 410436 | Zee TV
410437 => 410437 | Zee News
410438 => 410438 | Star Gold
410439 => 410439 | STAR PLUS
410440 => 410440 | Star Bharat
410445 => 410445 | 冰火頻道
410450 => 410450 | 成人極品台
410773 => 410773 | 影迷數位紀實台
412028 => 412028 | 韓國娛樂台 KMTV
412087 => 412087 | HITS MOVIES
412204 => 412204 | HITS
414181 => 414181 | INULTRA
414182 => 414182 | MagellanTV頻道 (麥哲倫頻道)
